Time          F_x          F_y          F_z
1.4650e+00  4.2752e+01  3.5636e+00  0.0000e+00
1.4700e+00  4.2532e+01  -4.0233e+00  0.0000e+00
1.4750e+00  4.2594e+01  -1.5083e+00  0.0000e+00
1.4800e+00  4.2603e+01  2.7586e+00  0.0000e+00
1.4850e+00  4.2297e+01  -7.2401e+00  0.0000e+00
1.4900e+00  4.2705e+01  5.2228e+00  0.0000e+00
1.4950e+00  4.2431e+01  -5.0188e+00  0.0000e+00
1.5000e+00  4.2571e+01  -1.2595e+00  0.0000e+00
1.5050e+00  4.2737e+01  4.0441e+00  0.0000e+00
1.5100e+00  4.2217e+01  -1.0188e+01  0.0000e+00
1.5150e+00  4.2931e+01  1.0259e+01  0.0000e+00
1.5200e+00  4.2157e+01  -1.1944e+01  0.0000e+00
1.5250e+00  4.2876e+01  7.1470e+00  0.0000e+00
1.5300e+00  4.2381e+01  -5.2480e+00  0.0000e+00
1.5350e+00  4.2627e+01  -8.6930e-01  0.0000e+00
1.5400e+00  4.2669e+01  1.4772e+00  0.0000e+00
1.5450e+00  4.2581e+01  -3.9913e+00  0.0000e+00
1.5500e+00  4.2722e+01  3.7351e-01  0.0000e+00
1.5550e+00  4.2707e+01  7.9801e-01  0.0000e+00
1.5600e+00  4.2494e+01  -6.0410e+00  0.0000e+00
1.5650e+00  4.2982e+01  6.5544e+00  0.0000e+00
1.5700e+00  4.2445e+01  -8.9482e+00  0.0000e+00
1.5750e+00  4.2974e+01  5.2485e+00  0.0000e+00
1.5800e+00  4.2635e+01  -3.2253e+00  0.0000e+00
1.5850e+00  4.2759e+01  -3.0108e+00  0.0000e+00
1.5900e+00  4.2886e+01  5.4090e+00  0.0000e+00
1.5950e+00  4.2456e+01  -9.5906e+00  0.0000e+00
1.6000e+00  4.2931e+01  8.2138e+00  0.0000e+00
1.6050e+00  4.2431e+01  -8.0523e+00  0.0000e+00
1.6100e+00  4.2771e+01  3.2752e+00  0.0000e+00
1.6150e+00  4.2714e+01  -1.4776e+00  0.0000e+00
1.6200e+00  4.2698e+01  -2.2933e+00  0.0000e+00
1.6250e+00  4.2865e+01  1.2833e+00  0.0000e+00
1.6300e+00  4.2703e+01  -1.2334e+00  0.0000e+00
1.6350e+00  4.2626e+01  -3.2082e+00  0.0000e+00
1.6400e+00  4.2971e+01  5.0002e+00  0.0000e+00
1.6450e+00  4.2498e+01  -9.0441e+00  0.0000e+00
1.6500e+00  4.3131e+01  8.3938e+00  0.0000e+00
1.6550e+00  4.2476e+01  -8.5131e+00  0.0000e+00
1.6600e+00  4.3058e+01  4.1666e+00  0.0000e+00
1.6650e+00  4.2755e+01  -1.2123e+00  0.0000e+00
1.6700e+00  4.2808e+01  -3.9651e+00  0.0000e+00
1.6750e+00  4.2968e+01  5.5704e+00  0.0000e+00
1.6800e+00  4.2672e+01  -7.2673e+00  0.0000e+00
1.6850e+00  4.2935e+01  4.9981e+00  0.0000e+00
1.6900e+00  4.2789e+01  -3.3379e+00  0.0000e+00
1.6950e+00  4.2839e+01  -2.0806e-01  0.0000e+00
1.7000e+00  4.2929e+01  1.6310e+00  0.0000e+00
1.7050e+00  4.2696e+01  -2.6002e+00  0.0000e+00
1.7100e+00  4.2843e+01  6.4883e-01  0.0000e+00
1.7150e+00  4.2831e+01  1.8118e+00  0.0000e+00
1.7200e+00  4.2540e+01  -5.7621e+00  0.0000e+00
1.7250e+00  4.3011e+01  8.3779e+00  0.0000e+00
1.7300e+00  4.2419e+01  -9.9173e+00  0.0000e+00
1.7350e+00  4.3167e+01  9.3777e+00  0.0000e+00
1.7400e+00  4.2603e+01  -6.7937e+00  0.0000e+00
1.7450e+00  4.3025e+01  3.1228e+00  0.0000e+00
1.7500e+00  4.2840e+01  9.8373e-01  0.0000e+00
1.7550e+00  4.2749e+01  -3.6321e+00  0.0000e+00
1.7600e+00  4.3012e+01  5.0338e+00  0.0000e+00
1.7650e+00  4.2746e+01  -3.7760e+00  0.0000e+00
1.7700e+00  4.2987e+01  2.1141e+00  0.0000e+00
1.7750e+00  4.2962e+01  1.3521e+00  0.0000e+00
1.7800e+00  4.2800e+01  -2.5024e+00  0.0000e+00
1.7850e+00  4.3012e+01  4.0348e+00  0.0000e+00
1.7900e+00  4.2881e+01  -1.7625e+00  0.0000e+00
1.7950e+00  4.2920e+01  2.7005e-01  0.0000e+00
1.8000e+00  4.3000e+01  4.7067e+00  0.0000e+00
1.8050e+00  4.2649e+01  -6.5362e+00  0.0000e+00
1.8100e+00  4.3215e+01  1.0210e+01  0.0000e+00
1.8150e+00  4.2640e+01  -8.5976e+00  0.0000e+00
1.8200e+00  4.3165e+01  8.7009e+00  0.0000e+00
1.8250e+00  4.2765e+01  -3.8011e+00  0.0000e+00
1.8300e+00  4.2920e+01  2.5062e+00  0.0000e+00
1.8350e+00  4.2958e+01  2.1689e+00  0.0000e+00
1.8400e+00  4.2764e+01  -1.2656e+00  0.0000e+00
1.8450e+00  4.3029e+01  3.0363e+00  0.0000e+00
1.8500e+00  4.2911e+01  1.2029e+00  0.0000e+00
1.8550e+00  4.2991e+01  -8.4693e-01  0.0000e+00
1.8600e+00  4.3149e+01  5.1051e+00  0.0000e+00
1.8650e+00  4.2985e+01  -3.1394e+00  0.0000e+00
1.8700e+00  4.3137e+01  4.8379e+00  0.0000e+00
1.8750e+00  4.2996e+01  2.7912e-01  0.0000e+00
1.8800e+00  4.2948e+01  -5.6071e-01  0.0000e+00
