Time          F_x          F_y          F_z
3.5000e+00  1.7702e+00  -1.8759e+00  0.0000e+00
3.5100e+00  1.6907e+00  -1.0331e+00  0.0000e+00
3.5200e+00  1.6488e+00  -2.5227e-01  0.0000e+00
3.5300e+00  1.6254e+00  3.8994e-01  0.0000e+00
3.5400e+00  1.5899e+00  6.6322e-01  0.0000e+00
3.5500e+00  1.5261e+00  8.0130e-01  0.0000e+00
3.5600e+00  1.4555e+00  9.1578e-01  0.0000e+00
3.5700e+00  1.4053e+00  1.1484e+00  0.0000e+00
3.5800e+00  1.3901e+00  1.4115e+00  0.0000e+00
3.5900e+00  1.4005e+00  1.5889e+00  0.0000e+00
3.6000e+00  1.4582e+00  1.7541e+00  0.0000e+00
3.6100e+00  1.5639e+00  1.8919e+00  0.0000e+00
3.6200e+00  1.7612e+00  2.2632e+00  0.0000e+00
3.6300e+00  1.9735e+00  2.6096e+00  0.0000e+00
3.6400e+00  2.0819e+00  2.8348e+00  0.0000e+00
3.6500e+00  1.9843e+00  2.4048e+00  0.0000e+00
3.6600e+00  1.7928e+00  1.4914e+00  0.0000e+00
3.6700e+00  1.6331e+00  2.9402e-01  0.0000e+00
3.6800e+00  1.5664e+00  -5.0293e-01  0.0000e+00
3.6900e+00  1.5323e+00  -9.3167e-01  0.0000e+00
3.7000e+00  1.5045e+00  -1.3040e+00  0.0000e+00
3.7100e+00  1.5105e+00  -1.9286e+00  0.0000e+00
3.7200e+00  1.6121e+00  -2.9008e+00  0.0000e+00
3.7300e+00  1.7596e+00  -3.7218e+00  0.0000e+00
3.7400e+00  1.9259e+00  -4.2519e+00  0.0000e+00
3.7500e+00  2.0475e+00  -4.3091e+00  0.0000e+00
3.7600e+00  2.1843e+00  -4.2866e+00  0.0000e+00
3.7700e+00  2.2787e+00  -4.1703e+00  0.0000e+00
3.7800e+00  2.2991e+00  -4.0772e+00  0.0000e+00
3.7900e+00  2.1424e+00  -3.4615e+00  0.0000e+00
3.8000e+00  1.8911e+00  -2.2510e+00  0.0000e+00
3.8100e+00  1.6970e+00  -6.7775e-01  0.0000e+00
3.8200e+00  1.6330e+00  5.9196e-01  0.0000e+00
3.8300e+00  1.6104e+00  1.2807e+00  0.0000e+00
3.8400e+00  1.5720e+00  1.4564e+00  0.0000e+00
3.8500e+00  1.4978e+00  1.4614e+00  0.0000e+00
3.8600e+00  1.4409e+00  1.4781e+00  0.0000e+00
3.8700e+00  1.3868e+00  1.5283e+00  0.0000e+00
3.8800e+00  1.3678e+00  1.5064e+00  0.0000e+00
3.8900e+00  1.3551e+00  1.4510e+00  0.0000e+00
3.9000e+00  1.3868e+00  1.2810e+00  0.0000e+00
3.9100e+00  1.4837e+00  1.3433e+00  0.0000e+00
3.9200e+00  1.6773e+00  1.6941e+00  0.0000e+00
3.9300e+00  1.8464e+00  2.0022e+00  0.0000e+00
3.9400e+00  1.8859e+00  2.1405e+00  0.0000e+00
3.9500e+00  1.7625e+00  1.5267e+00  0.0000e+00
3.9600e+00  1.6286e+00  7.1944e-01  0.0000e+00
3.9700e+00  1.5272e+00  -3.6963e-01  0.0000e+00
3.9800e+00  1.5040e+00  -7.5681e-01  0.0000e+00
3.9900e+00  1.4801e+00  -9.9332e-01  0.0000e+00
4.0000e+00  1.4599e+00  -1.1413e+00  0.0000e+00
4.0100e+00  1.4360e+00  -1.3668e+00  0.0000e+00
4.0200e+00  1.4762e+00  -2.1272e+00  0.0000e+00
4.0300e+00  1.5069e+00  -2.5871e+00  0.0000e+00
4.0400e+00  1.6332e+00  -3.1523e+00  0.0000e+00
4.0500e+00  1.7485e+00  -3.3741e+00  0.0000e+00
4.0600e+00  2.0036e+00  -3.8719e+00  0.0000e+00
4.0700e+00  2.2267e+00  -4.1825e+00  0.0000e+00
4.0800e+00  2.4431e+00  -4.8104e+00  0.0000e+00
4.0900e+00  2.3164e+00  -4.3358e+00  0.0000e+00
4.1000e+00  2.0344e+00  -3.1782e+00  0.0000e+00
4.1100e+00  1.7460e+00  -1.4487e+00  0.0000e+00
4.1200e+00  1.6356e+00  -2.2680e-01  0.0000e+00
4.1300e+00  1.5757e+00  4.8918e-01  0.0000e+00
4.1400e+00  1.5560e+00  8.3142e-01  0.0000e+00
4.1500e+00  1.4830e+00  9.8244e-01  0.0000e+00
4.1600e+00  1.5128e+00  1.7725e+00  0.0000e+00
4.1700e+00  1.4820e+00  2.1118e+00  0.0000e+00
4.1800e+00  1.5476e+00  2.4492e+00  0.0000e+00
4.1900e+00  1.5241e+00  2.6189e+00  0.0000e+00
4.2000e+00  1.5496e+00  2.1309e+00  0.0000e+00
4.2100e+00  1.6173e+00  2.2365e+00  0.0000e+00
4.2200e+00  1.7351e+00  2.2590e+00  0.0000e+00
4.2300e+00  1.8687e+00  2.6441e+00  0.0000e+00
4.2400e+00  1.9067e+00  2.6757e+00  0.0000e+00
4.2500e+00  1.8439e+00  2.3091e+00  0.0000e+00
4.2600e+00  1.7023e+00  1.3386e+00  0.0000e+00
